parl_id,legislatura,weights,nome,siglaPartido,siglaUf,F,M,branca,n_branca,parda,preta,amarela,indigena
74103,52,0.3357821170990963,ARIOSTO HOLANDA,S.PART.,CE,0,1,1,0,0,0,0,0
74103,52,0.3357821170990963,ARIOSTO HOLANDA,PSB,CE,0,1,1,0,0,0,0,0
73433,52,0.3357821170990963,ARLINDO CHINAGLIA,PT,SP,0,1,1,0,0,0,0,0
74405,52,0.3357821170990963,ARMANDO ABÍLIO,PSDB,PB,0,1,0,0,0,0,0,0
74405,52,0.3357821170990963,ARMANDO ABÍLIO,PTB,PB,0,1,0,0,0,0,0,0
74472,52,0.3357821170990963,ARMANDO MONTEIRO,PMDB,PE,0,1,1,0,0,0,0,0
74472,52,0.3357821170990963,ARMANDO MONTEIRO,PTB,PE,0,1,1,0,0,0,0,0
73434,52,0.3357821170990963,ARNALDO FARIA DE SÁ,PTB,SP,0,1,1,0,0,0,0,0
73993,52,0.3357821170990963,ARNALDO MADEIRA,PSDB,SP,0,1,0,0,0,0,0,0
74291,52,0.3357821170990963,ARNON BEZERRA,PSDB,CE,0,1,1,0,0,0,0,0
74291,52,0.3357821170990963,ARNON BEZERRA,PTB,CE,0,1,1,0,0,0,0,0
74833,52,0.3357821170990963,AROLDE DE OLIVEIRA,PFL,RJ,0,1,1,0,0,0,0,0
74534,52,0.3357821170990963,AROLDO CEDRAZ,PFL,BA,0,1,0,0,0,0,0,0
74287,52,0.3357821170990963,ARRUDA,PFL,DF,0,1,1,0,0,0,0,0
74287,52,0.3357821170990963,JOSÉ ROBERTO ARRUDA,PFL,DF,0,1,1,0,0,0,0,0
73683,52,0.3357821170990963,ARY JOSÉ VANAZZI,PT,RS,0,1,1,0,0,0,0,0
73683,52,0.3357821170990963,ARY VANAZZI,PT,RS,0,1,1,0,0,0,0,0
73435,52,0.3357821170990963,ARY KARA,PTB,SP,0,1,1,0,0,0,0,0
74222,52,2.8621344797247104,ASDRUBAL BENTES,PMDB,PA,0,1,0,1,1,0,0,0
74378,52,0.3357821170990963,ASSIS MIGUEL DO COUTO,PT,PR,0,1,1,0,0,0,0,0
74147,52,0.3357821170990963,ATHOS AVELINO,PPS,MG,0,1,0,0,0,0,0,0
74090,52,0.3357821170990963,ÁTILA LINS,PPS,AM,0,1,1,0,0,0,0,0
74090,52,0.3357821170990963,ÁTILA LINS,PMDB,AM,0,1,1,0,0,0,0,0
74459,52,0.3357821170990963,ÁTILA LIRA,PSDB,PI,0,1,1,0,0,0,0,0
73889,52,0.3357821170990963,AUGUSTO NARDES,PPB,RS,0,1,0,0,0,0,0,0
73889,52,0.3357821170990963,AUGUSTO NARDES,PP**,RS,0,1,0,0,0,0,0,0
74312,52,0.3357821170990963,B. SÁ,PPS,PI,0,1,0,0,0,0,0,0
74312,52,0.3357821170990963,B. SÁ,S.PART.,PI,0,1,0,0,0,0,0,0
74312,52,0.3357821170990963,B. SÁ,PSB,PI,0,1,0,0,0,0,0,0
74349,52,0.3357821170990963,BABÁ,PT,PA,0,1,1,0,0,0,0,0
74349,52,0.3357821170990963,BABÁ,S.PART.,PA,0,1,1,0,0,0,0,0
74349,52,0.3357821170990963,BABÁ,PSOL,PA,0,1,1,0,0,0,0,0
74342,52,0.3357821170990963,BADU PICANÇO,PL*,AP,0,1,0,0,0,0,0,0
74342,52,0.3357821170990963,BADU PICANÇO,PR,AP,0,1,0,0,0,0,0,0
73663,52,0.3357821170990963,BARBOSA NETO,PMDB,GO,0,1,0,0,0,0,0,0
73663,52,0.3357821170990963,BARBOSA NETO,PSB,GO,0,1,0,0,0,0,0,0
74059,52,2.8621344797247104,BASSUMA,PT,BA,0,1,0,1,1,0,0,0
74059,52,2.8621344797247104,LUIZ BASSUMA,PT,BA,0,1,0,1,1,0,0,0
74517,52,2.8621344797247104,BENEDITO DE LIRA,PTB,AL,0,1,0,1,1,0,0,0
74517,52,2.8621344797247104,BENEDITO DE LIRA,PPB,AL,0,1,0,1,1,0,0,0
74517,52,2.8621344797247104,BENEDITO DE LIRA,PP**,AL,0,1,0,1,1,0,0,0
74040,52,2.8621344797247104,BENJAMIN MARANHÃO,PMDB,PB,0,1,0,1,1,0,0,0
74169,52,0.3357821170990963,BERNARDO ARISTON,PSB,RJ,0,1,1,0,0,0,0,0
74169,52,0.3357821170990963,BERNARDO ARISTON,PMDB,RJ,0,1,1,0,0,0,0,0
74321,52,0.3357821170990963,BETINHO ROSADO,PFL,RN,0,1,1,0,0,0,0,0
74321,52,0.3357821170990963,CARLOS ALBERTO ROSADO,PFL,RN,0,1,1,0,0,0,0,0
73478,52,0.3357821170990963,BETO ALBUQUERQUE,PSB,RS,0,1,1,0,0,0,0,0
141335,52,2.8621344797247104,BETO FARO,PT,PA,0,1,0,1,1,0,0,0
74030,52,0.3357821170990963,BISMARCK MAIA,PSDB,CE,0,1,1,0,0,0,0,0
74261,52,0.3357821170990963,BISPO JOÃO BATISTA,PFL,SP,0,1,1,0,0,0,0,0
74261,52,0.3357821170990963,BISPO JOÃO BATISTA,S.PART.,SP,0,1,1,0,0,0,0,0
74261,52,0.3357821170990963,BISPO JOÃO BATISTA,PP**,SP,0,1,1,0,0,0,0,0
74261,52,0.3357821170990963,JOÃO BATISTA,PFL,SP,0,1,1,0,0,0,0,0
74261,52,0.3357821170990963,JOÃO BATISTA,S.PART.,SP,0,1,1,0,0,0,0,0
74261,52,0.3357821170990963,JOÃO BATISTA,PP**,SP,0,1,1,0,0,0,0,0
74170,52,4.431484490415324,BISPO JOÃO MENDES DE JESUS,PDT,RJ,0,1,0,1,0,1,0,0
74170,52,4.431484490415324,BISPO JOÃO MENDES DE JESUS,PSL,RJ,0,1,0,1,0,1,0,0
74170,52,4.431484490415324,BISPO JOÃO MENDES DE JESUS,PL*,RJ,0,1,0,1,0,1,0,0
74170,52,4.431484490415324,BISPO JOÃO MENDES DE JESUS,PSL,RJ,0,1,0,1,0,1,0,0
74170,52,4.431484490415324,BISPO JOÃO MENDES DE JESUS,S.PART.,RJ,0,1,0,1,0,1,0,0
74170,52,4.431484490415324,BISPO JOÃO MENDES DE JESUS,PSB,RJ,0,1,0,1,0,1,0,0
74170,52,4.431484490415324,BISPO JOÃO MENDES DE JESUS,S.PART.,RJ,0,1,0,1,0,1,0,0
74170,52,4.431484490415324,JOÃO MENDES DE JESUS,PDT,RJ,0,1,0,1,0,1,0,0
74170,52,4.431484490415324,JOÃO MENDES DE JESUS,PSL,RJ,0,1,0,1,0,1,0,0
74170,52,4.431484490415324,JOÃO MENDES DE JESUS,PL*,RJ,0,1,0,1,0,1,0,0
74170,52,4.431484490415324,JOÃO MENDES DE JESUS,PSL,RJ,0,1,0,1,0,1,0,0
74170,52,4.431484490415324,JOÃO MENDES DE JESUS,S.PART.,RJ,0,1,0,1,0,1,0,0
74170,52,4.431484490415324,JOÃO MENDES DE JESUS,PSB,RJ,0,1,0,1,0,1,0,0
74170,52,4.431484490415324,JOÃO MENDES DE JESUS,S.PART.,RJ,0,1,0,1,0,1,0,0
74676,52,0.3357821170990963,BISPO RODRIGUES,PL*,RJ,0,1,0,0,0,0,0,0
74676,52,0.3357821170990963,CARLOS RODRIGUES,PL*,RJ,0,1,0,0,0,0,0,0
74702,52,0.3357821170990963,BISPO WANDERVAL,PL*,SP,0,1,0,0,0,0,0,0
74702,52,0.3357821170990963,BISPO WANDERVAL,PR,SP,0,1,0,0,0,0,0,0
74702,52,0.3357821170990963,WANDERVAL SANTOS,PL*,SP,0,1,0,0,0,0,0,0
74702,52,0.3357821170990963,WANDERVAL SANTOS,PR,SP,0,1,0,0,0,0,0,0
74650,52,0.3357821170990963,BONIFÁCIO DE ANDRADA,PSDB,MG,0,1,1,0,0,0,0,0
74052,52,2.8621344797247104,BOSCO COSTA,PSDB,SE,0,1,0,1,1,0,0,0
74577,52,2.8621344797247104,CABO JÚLIO,PSB,MG,0,1,0,1,1,0,0,0
74577,52,2.8621344797247104,CABO JÚLIO,PSC,MG,0,1,0,1,1,0,0,0
74577,52,2.8621344797247104,CABO JÚLIO,PMDB,MG,0,1,0,1,1,0,0,0
133658,52,0.3357821170990963,CAPITÃO WAYNE,PSDB,GO,0,1,1,0,0,0,0,0
73469,52,0.3357821170990963,CARLITO MERSS,PT,SC,0,1,1,0,0,0,0,0
74285,52,0.3357821170990963,CARLOS ABICALIL,PT,MT,0,1,0,0,0,0,0,0
74290,52,2.8621344797247104,CARLOS ALBERTO LERÉIA,PSDB,GO,0,1,0,1,1,0,0,0
74473,52,2.8621344797247104,CARLOS BATATA,PSDB,PE,0,1,0,1,1,0,0,0
74473,52,2.8621344797247104,CARLOS BATATA,PFL,PE,0,1,0,1,1,0,0,0
74466,52,0.3357821170990963,CARLOS DUNGA,PTB,PB,0,1,0,0,0,0,0,0
74474,52,0.3357821170990963,CARLOS EDUARDO CADOCA,PMDB,PE,0,1,1,0,0,0,0,0
141331,52,2.8621344797247104,CARLOS LAPA,PSB,PE,0,1,0,1,1,0,0,0
74651,52,0.3357821170990963,CARLOS MELLES,PFL,MG,0,1,1,0,0,0,0,0
74484,52,2.8621344797247104,CARLOS MOTA,PL*,MG,0,1,0,1,1,0,0,0
74484,52,2.8621344797247104,CARLOS MOTA,PSB,MG,0,1,0,1,1,0,0,0
73825,52,0.3357821170990963,CARLOS NADER,PFL,RJ,0,1,0,0,0,0,0,0
73825,52,0.3357821170990963,CARLOS NADER,PL*,RJ,0,1,0,0,0,0,0,0
73825,52,0.3357821170990963,CARLOS NADER,PR,RJ,0,1,0,0,0,0,0,0
74262,52,0.3357821170990963,CARLOS SAMPAIO,PSDB,SP,0,1,1,0,0,0,0,0
74835,52,0.3357821170990963,CARLOS SANTANA,PT,RJ,0,1,0,0,0,0,0,0
73934,52,2.8621344797247104,CARLOS SOUZA,PL*,AM,0,1,0,1,1,0,0,0
73934,52,2.8621344797247104,CARLOS SOUZA,PP**,AM,0,1,0,1,1,0,0,0
74148,52,0.3357821170990963,CARLOS WILLIAN,PSB,MG,0,1,0,0,0,0,0,0
74148,52,0.3357821170990963,CARLOS WILLIAN,PSC,MG,0,1,0,0,0,0,0,0
74148,52,0.3357821170990963,CARLOS WILLIAN,PMDB,MG,0,1,0,0,0,0,0,0
74148,52,0.3357821170990963,CARLOS WILLIAN,PTC,MG,0,1,0,0,0,0,0,0
74489,52,0.3357821170990963,CASARA,PSDB,RO,0,1,0,0,0,0,0,0
74489,52,0.3357821170990963,CASARA,PSB,RO,0,1,0,0,0,0,0,0
74489,52,0.3357821170990963,CASARA,PL*,RO,0,1,0,0,0,0,0,0
74489,52,0.3357821170990963,CASARA,PSDB,RO,0,1,0,0,0,0,0,0
74489,52,0.3357821170990963,HAMILTON CASARA,PSDB,RO,0,1,0,0,0,0,0,0
