id,idLegislatura,F,M,branca,n_branca,parda,preta,amarela,indigena
74434,51,0,1,0,0,0,0,0,0
73986,51,0,1,0,0,0,0,0,0
73690,51,0,1,1,0,0,0,0,0
73559,51,0,1,1,0,0,0,0,0
74796,51,0,1,0,0,0,0,0,0
73467,51,0,1,0,0,0,0,0,0
74762,51,0,1,1,0,0,0,0,0
74210,51,0,1,1,0,0,0,0,0
73596,51,0,1,0,0,0,0,0,0
74575,51,0,1,0,0,0,0,0,0
74211,51,0,1,0,1,1,0,0,0
73885,51,0,1,1,0,0,0,0,0
74069,51,0,1,1,0,0,0,0,0
74442,51,0,1,0,1,1,0,0,0
74360,51,0,1,0,0,0,0,0,0
74435,51,0,1,0,0,0,0,0,0
74763,51,0,1,0,0,0,0,0,0
74458,51,0,1,0,0,0,0,0,0
74564,51,0,1,1,0,0,0,0,0
74436,51,0,1,0,0,0,0,0,0
74765,51,0,1,1,0,0,0,0,0
74356,51,0,1,0,1,1,0,0,0
73560,51,0,1,1,0,0,0,0,0
73424,51,0,1,1,0,0,0,0,0
74085,51,1,0,0,0,0,0,0,0
73488,51,0,1,0,0,0,0,0,0
74806,51,0,1,1,0,0,0,0,0
74523,51,0,1,0,0,0,0,0,0
73687,51,1,0,0,0,0,0,0,0
73577,51,0,1,1,0,0,0,0,0
73561,51,1,0,1,0,0,0,0,0
73989,51,0,1,1,0,0,0,0,0
73652,51,1,0,0,1,1,0,0,0
74461,51,0,1,0,0,0,0,0,0
74767,51,0,1,0,1,1,0,0,0
74307,51,0,1,0,0,0,0,0,0
74193,51,0,1,1,0,0,0,0,0
74644,51,0,1,0,0,0,0,0,0
73564,51,0,1,0,0,0,0,0,0
74136,51,0,1,1,0,0,0,0,0
74691,51,0,1,0,0,0,0,0,0
73565,51,0,1,0,0,0,0,0,0
74348,51,0,1,1,0,0,0,0,0
73790,51,0,1,0,0,0,0,0,0
74357,51,1,0,1,0,0,0,0,0
74233,51,0,1,1,0,0,0,0,0
74087,51,0,1,0,0,0,0,0,0
74308,51,0,1,1,0,0,0,0,0
73476,51,0,1,1,0,0,0,0,0
73677,51,0,1,1,0,0,0,0,0
74593,51,0,1,1,0,0,0,0,0
74768,51,0,1,1,0,0,0,0,0
74694,51,0,1,1,0,0,0,0,0
73915,51,0,1,1,0,0,0,0,0
73567,51,0,1,0,0,0,0,0,0
73643,51,0,1,0,0,0,0,0,0
73456,51,0,1,1,0,0,0,0,0
74576,51,0,1,0,0,0,0,0,0
73489,51,0,1,0,0,0,0,0,0
74668,51,0,1,0,0,0,0,0,0
74695,51,0,1,0,0,0,0,0,0
73653,51,0,1,1,0,0,0,0,0
74462,51,0,1,0,1,1,0,0,0
73792,51,0,1,0,0,0,0,0,0
73661,51,0,1,0,0,0,0,0,0
74414,51,0,1,0,0,0,0,0,0
73991,51,0,1,0,0,0,0,0,0
73598,51,0,1,0,0,0,0,0,0
74801,51,0,1,1,0,0,0,0,0
74439,51,0,1,1,0,0,0,0,0
74797,51,0,1,0,0,0,0,0,0
73992,51,1,0,1,0,0,0,0,0
73573,51,0,1,0,1,1,0,0,0
74769,51,0,1,0,0,0,0,0,0
73678,51,0,1,1,0,0,0,0,0
74798,51,0,1,0,0,0,0,0,0
74354,51,0,1,1,0,0,0,0,0
74669,51,0,1,0,0,0,0,0,0
74185,51,1,0,0,0,0,0,0,0
73645,51,1,0,0,0,0,0,0,0
74776,49,0,1,0,1,1,0,0,0
1516,48,0,1,0,0,0,0,0,0
139123,48,1,0,0,0,0,0,0,0
139124,48,0,1,0,0,0,0,0,0
74328,48,0,1,0,0,0,0,0,0
139125,48,0,1,0,0,0,0,0,0
73426,48,0,1,0,0,0,0,0,0
139126,48,0,1,0,0,0,0,0,0
73996,48,0,1,0,0,0,0,0,0
73887,48,0,1,0,0,0,0,0,0
74244,48,0,1,0,0,0,0,0,0
74646,48,0,1,1,0,0,0,0,0
139127,48,0,1,0,0,0,0,0,0
1514,48,0,1,0,0,0,0,0,0
139128,48,0,1,0,0,0,0,0,0
139129,48,0,1,0,0,0,0,0,0
139130,48,0,1,0,0,0,0,0,0
133990,48,0,1,0,0,0,0,0,0
139131,48,0,1,0,0,0,0,0,0
139132,48,0,1,0,0,0,0,0,0
74440,48,0,1,0,0,0,0,0,0
