Profile,Mean_Cosine,Median_Cosine,Partido,Estado,total_posts_profile_antes_filtro,total_posts_profile_depois_filtro,num_publicacoes_neste_df
Pedro Lucas Fernandes,0.12543287572119696,0.0009762524578349048,UNIÃO,,222,42,42
Benes Leocádio,0.12399273814513609,0.003857003837839917,UNIÃO,,410,75,75
Prof. Reginaldo Veras,0.12389244176809541,2.8324286727042888e-05,PV,,293,45,45
Márcio Marinho,0.12367544174341658,5.576270682127767e-05,REPUBLICANOS,,618,38,38
Joseildo Ramos,0.12359670035918068,0.00022592040324315052,PT,,550,108,108
Eduardo Velloso,0.12352897266769672,1.7506223585124844e-06,UNIÃO,,502,101,101
Rosangela Moro,0.12282135299956692,3.62452393560344e-05,UNIÃO,,659,108,108
Luciano Vieira,0.12176055570250018,-2.364557039224723e-05,REPUBLICANOS,,269,24,24
Washington Quaquá,0.12169187230152587,8.625294374940882e-05,PT,,1185,80,80
José Nelto,0.12110765102147315,0.0001170826075552239,UNIÃO,,1100,182,182
Eunício Oliveira,0.12100016909027073,2.6037706196602374e-05,MDB,,696,176,176
Marco Bertaiolli,0.12030808636204403,1.0606569669698891e-05,PSD,,385,49,49
Antonio Andrade,0.12009909878959615,0.00039359069147028953,REPUBLICANOS,,139,17,17
Diego Coronel,0.11940337048750811,1.2970290600513894e-05,PSD,,84,12,12
Guilherme Boulos,0.11937377373979674,2.413039134088649e-06,PSOL,,1916,113,113
Jorge Goetten,0.11935345947463942,8.621346570540073e-06,REPUBLICANOS,,302,26,26
Flávia Morais,0.11930525741901701,0.000840132121385902,PDT,,480,198,198
Júnior Mano,0.11914890062359679,0.00016770593307889077,PSB,,210,41,41
Magda Mofatto,0.11903311128695969,0.0003619394382941117,PRD,,338,38,38
Rafael Prudente,0.11903289836107155,-4.2658396670225076e-07,MDB,,535,129,129
Olival Marques,0.11885070630643592,0.0001237473924293779,MDB,,351,23,23
Júnior Ferrari,0.11868837931233704,0.00041810518626290917,PSD,,402,32,32
Felipe Becari,0.1186237442197563,0.00014056914043061234,UNIÃO,,170,51,51
Murillo Gouvea,0.11813533982036593,1.5523926515679244e-06,UNIÃO,,628,83,83
Carlos Veras,0.11807783234804886,0.00010043866789384975,PT,,1383,159,159
Pedro Campos,0.11783238133609168,0.0010273772663757486,PSB,,720,69,69
Tabata Amaral,0.11702902086593618,0.00027846069890726487,PSB,,774,126,126
Marcelo Queiroz,0.11668214229280464,-2.3380883325315413e-06,PP,,127,20,20
Antonio Carlos Rodrigues,0.11652933819063087,5.58308150686113e-05,PL,,314,54,54
João Maia,0.11623529976089039,0.0012625166414109018,PP,,162,33,33
Silvye Alves,0.11588405034742286,4.584306322825472e-06,UNIÃO,,1211,92,92
Paulo Folletto,0.11509776828773295,0.00048580636782731893,PSB,,168,29,29
Eros Biondini,0.11461672638598577,0.0016035125389367172,PL,,99,23,23
Reginete Bispo,0.11461243027320187,0.016244850669617998,PT,,1289,420,420
Célio Silveira,0.11439268689174217,0.0002841402812589414,MDB,,366,54,54
Eduardo Bismarck,0.11430167194248196,0.0001493083220882762,PDT,,751,65,65
Daniel Agrobom,0.11410533585189753,0.0016343174190992535,PL,,460,79,79
Antônio Doido,0.11389697579067162,0.0006365671259820451,MDB,,594,47,47
Ana Pimentel,0.1135283671224424,0.00028742142190474475,PT,,844,223,223
Renildo Calheiros,0.11350756873223662,0.0007391590727762779,PCdoB,,693,88,88
Pedro Westphalen,0.11322444142511963,4.162623684595525e-05,PP,,182,39,39
Augusto Puppio,0.1132233289668643,-1.1878658994447855e-05,MDB,,250,61,61
Erika Hilton,0.11230699931512376,0.006065012226859277,PSOL,,354,79,79
Arthur Lira,0.11230517155479146,0.0006772955082183156,PP,,219,28,28
Cleber Verde,0.11223682903185002,0.000256154158451526,MDB,,470,51,51
Adolfo Viana,0.11217240628722379,-6.832075630985954e-05,PSDB,,66,4,4
Helena Lima,0.11211819245159368,7.556137686334107e-06,MDB,,446,102,102
Rafael Simoes,0.11197558832940413,-1.73142320020969e-05,UNIÃO,,416,20,20
Jadyel Alencar,0.11145621413424334,0.0012135574394882037,REPUBLICANOS,,400,77,77
Carol Dartora,0.11135990774835275,0.005081113459382424,PT,,1338,379,379
Dra. Alessandra Haber,0.11127466735898475,7.569782003671891e-05,MDB,,631,110,110
Zé Neto,0.11126150826959312,0.000568314458267145,PT,,2707,856,856
