id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,email
73468,https://dadosabertos.camara.leg.br/api/v2/deputados/73468,ANTÔNIO CARLOS KONDER REIS,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790,SC,51,https://www.camara.leg.br/internet/deputado/bandep/73468.jpg,
73584,https://dadosabertos.camara.leg.br/api/v2/deputados/73584,ANTONIO CARLOS MENDES THAME,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,51,https://www.camara.leg.br/internet/deputado/bandep/73584.jpg,
73431,https://dadosabertos.camara.leg.br/api/v2/deputados/73431,ANTONIO CARLOS PANNUNZIO,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,51,https://www.camara.leg.br/internet/deputado/bandep/73431.jpg,
73817,https://dadosabertos.camara.leg.br/api/v2/deputados/73817,ANTONIO CRUZ,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845,MS,51,https://www.camara.leg.br/internet/deputado/bandep/73817.jpg,
74647,https://dadosabertos.camara.leg.br/api/v2/deputados/74647,ANTÔNIO DO VALLE,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,MG,51,https://www.camara.leg.br/internet/deputado/bandep/74647.jpg,
73987,https://dadosabertos.camara.leg.br/api/v2/deputados/73987,ANTONIO FEIJÃO,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,AP,51,https://www.camara.leg.br/internet/deputado/bandep/73987.jpg,
74415,https://dadosabertos.camara.leg.br/api/v2/deputados/74415,ANTÔNIO GERALDO,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790,PE,51,https://www.camara.leg.br/internet/deputado/bandep/74415.jpg,
73646,https://dadosabertos.camara.leg.br/api/v2/deputados/73646,ANTÔNIO JOAQUIM,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MT,51,https://www.camara.leg.br/internet/deputado/bandep/73646.jpg,
74194,https://dadosabertos.camara.leg.br/api/v2/deputados/74194,ANTONIO JOAQUIM ARAÚJO,PPB,https://dadosabertos.camara.leg.br/api/v2/partidos/36811,MA,51,https://www.camara.leg.br/internet/deputado/bandep/74194.jpg,
74186,https://dadosabertos.camara.leg.br/api/v2/deputados/74186,ANTÔNIO JORGE,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36845,TO,51,https://www.camara.leg.br/internet/deputado/bandep/74186.jpg,
73589,https://dadosabertos.camara.leg.br/api/v2/deputados/73589,ANTÔNIO JOSÉ MOTA,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,CE,51,https://www.camara.leg.br/internet/deputado/bandep/73589.jpg,
73432,https://dadosabertos.camara.leg.br/api/v2/deputados/73432,ANTONIO KANDIR,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,51,https://www.camara.leg.br/internet/deputado/bandep/73432.jpg,
74701,https://dadosabertos.camara.leg.br/api/v2/deputados/74701,ANTONIO PALOCCI,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,SP,51,https://www.camara.leg.br/internet/deputado/bandep/74701.jpg,
74648,https://dadosabertos.camara.leg.br/api/v2/deputados/74648,ARACELY DE PAULA,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790,MG,51,https://www.camara.leg.br/internet/deputado/bandep/74648.jpg,
74103,https://dadosabertos.camara.leg.br/api/v2/deputados/74103,ARIOSTO HOLANDA,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,CE,51,https://www.camara.leg.br/internet/deputado/bandep/74103.jpg,
73681,https://dadosabertos.camara.leg.br/api/v2/deputados/73681,ARISTON ANDRADE,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790,BA,51,https://www.camara.leg.br/internet/deputado/bandep/73681.jpg,
73433,https://dadosabertos.camara.leg.br/api/v2/deputados/73433,ARLINDO CHINAGLIA,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,SP,51,https://www.camara.leg.br/internet/deputado/bandep/73433.jpg,
74217,https://dadosabertos.camara.leg.br/api/v2/deputados/74217,ARLINDO VARGAS,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845,RS,51,https://www.camara.leg.br/internet/deputado/bandep/74217.jpg,
74405,https://dadosabertos.camara.leg.br/api/v2/deputados/74405,ARMANDO ABÍLIO,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,PB,51,https://www.camara.leg.br/internet/deputado/bandep/74405.jpg,
74472,https://dadosabertos.camara.leg.br/api/v2/deputados/74472,ARMANDO MONTEIRO,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,PE,51,https://www.camara.leg.br/internet/deputado/bandep/74472.jpg,
73434,https://dadosabertos.camara.leg.br/api/v2/deputados/73434,ARNALDO FARIA DE SÁ,PPB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845,SP,51,https://www.camara.leg.br/internet/deputado/bandep/73434.jpg,
