id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,email,dataInicio,dataFim,titulo,codTitulo
178956,https://dadosabertos.camara.leg.br/api/v2/deputados/178956,MARIANA CARVALHO,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,RO,55,https://www.camara.leg.br/internet/deputado/bandep/178956.jpg,,2017-02-02,2019-01-31,2º Secretário,6
160565,https://dadosabertos.camara.leg.br/api/v2/deputados/160565,MARA GABRILLI,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,55,https://www.camara.leg.br/internet/deputado/bandep/160565.jpg,,2015-02-01,2017-02-02,3º Secretário,7
74163,https://dadosabertos.camara.leg.br/api/v2/deputados/74163,CARLOS MANATO,SD,https://dadosabertos.camara.leg.br/api/v2/partidos/36837,ES,55,https://www.camara.leg.br/internet/deputado/bandep/74163.jpg,,2017-02-02,2019-01-31,4º Suplente de Secretário,12
74784,https://dadosabertos.camara.leg.br/api/v2/deputados/74784,LUIZA ERUNDINA,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36839,SP,55,https://www.camara.leg.br/internet/deputado/bandep/74784.jpg,,2015-02-01,2017-02-02,3º Suplente de Secretário,11
160604,https://dadosabertos.camara.leg.br/api/v2/deputados/160604,PEDRO UCZAI,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,SC,55,https://www.camara.leg.br/internet/deputado/bandep/160604.jpg,,2017-02-02,2019-01-31,3º Suplente de Secretário,11
73458,https://dadosabertos.camara.leg.br/api/v2/deputados/73458,ALEX CANZIANI,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845,PR,55,https://www.camara.leg.br/internet/deputado/bandep/73458.jpg,,2015-02-01,2017-02-02,4º Secretário,8
74173,https://dadosabertos.camara.leg.br/api/v2/deputados/74173,EDUARDO CUNHA,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,RJ,55,https://www.camara.leg.br/internet/deputado/bandep/74173.jpg,,2015-02-01,2016-07-07,Presidente,1
141427,https://dadosabertos.camara.leg.br/api/v2/deputados/141427,FÁBIO RAMALHO,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,MG,55,https://www.camara.leg.br/internet/deputado/bandep/141427.jpg,,2017-02-02,2019-01-31,1º Vice-Presidente,2
73437,https://dadosabertos.camara.leg.br/api/v2/deputados/73437,BETO MANSUR,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,SP,55,https://www.camara.leg.br/internet/deputado/bandep/73437.jpg,,2015-02-01,2017-02-02,1º Secretário,5
178882,https://dadosabertos.camara.leg.br/api/v2/deputados/178882,ANDRÉ FUFUCA,PEN,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,MA,55,https://www.camara.leg.br/internet/deputado/bandep/178882.jpg,,2017-02-02,2019-01-31,2º Vice-Presidente,3
160655,https://dadosabertos.camara.leg.br/api/v2/deputados/160655,RICARDO IZAR,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,SP,55,https://www.camara.leg.br/internet/deputado/bandep/160655.jpg,,2015-02-01,2017-02-02,4º Suplente de Secretário,12
73428,https://dadosabertos.camara.leg.br/api/v2/deputados/73428,ALDO REBELO,PCdoB,https://dadosabertos.camara.leg.br/api/v2/partidos/36779,SP,52,https://www.camara.leg.br/internet/deputado/bandep/73428.jpg,,2005-09-28,2007-01-31,Presidente,1
74427,https://dadosabertos.camara.leg.br/api/v2/deputados/74427,LUIZ PIAUHYLINO,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,PE,52,https://www.camara.leg.br/internet/deputado/bandep/74427.jpg,,2003-02-02,2005-02-14,2º Vice-Presidente,3
74158,https://dadosabertos.camara.leg.br/api/v2/deputados/74158,MÁRIO HERINGER,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,MG,52,https://www.camara.leg.br/internet/deputado/bandep/74158.jpg,,2005-02-14,2007-01-31,4º Suplente de Secretário,12
74520,https://dadosabertos.camara.leg.br/api/v2/deputados/74520,JOSÉ THOMAZ NONÔ,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790,AL,52,https://www.camara.leg.br/internet/deputado/bandep/74520.jpg,,2005-02-16,2007-01-31,1º Vice-Presidente,2
74544,https://dadosabertos.camara.leg.br/api/v2/deputados/74544,GEDDEL VIEIRA LIMA,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,BA,52,https://www.camara.leg.br/internet/deputado/bandep/74544.jpg,,2003-02-02,2005-02-14,1º Secretário,5
74563,https://dadosabertos.camara.leg.br/api/v2/deputados/74563,JORGE ALBERTO,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,SE,52,https://www.camara.leg.br/internet/deputado/bandep/74563.jpg,,2005-02-14,2007-01-31,2º Suplente de Secretário,10
74097,https://dadosabertos.camara.leg.br/api/v2/deputados/74097,CONFÚCIO MOURA,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,RO,52,https://www.camara.leg.br/internet/deputado/bandep/74097.jpg,,2003-02-02,2004-12-31,3º Suplente de Secretário,11
74436,https://dadosabertos.camara.leg.br/api/v2/deputados/74436,SEVERINO CAVALCANTI,PPB,https://dadosabertos.camara.leg.br/api/v2/partidos/36809,PE,52,https://www.camara.leg.br/internet/deputado/bandep/74436.jpg,,2005-02-14,2005-09-21,Presidente,1
74313,https://dadosabertos.camara.leg.br/api/v2/deputados/74313,CIRO NOGUEIRA,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36809,PI,52,https://www.camara.leg.br/internet/deputado/bandep/74313.jpg,,2005-02-14,2007-01-31,2º Vice-Presidente,3
74436,https://dadosabertos.camara.leg.br/api/v2/deputados/74436,SEVERINO CAVALCANTI,PPB,https://dadosabertos.camara.leg.br/api/v2/partidos/36809,PE,52,https://www.camara.leg.br/internet/deputado/bandep/74436.jpg,,2003-02-02,2005-02-14,2º Secretário,6
74313,https://dadosabertos.camara.leg.br/api/v2/deputados/74313,CIRO NOGUEIRA,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36809,PI,52,https://www.camara.leg.br/internet/deputado/bandep/74313.jpg,,2003-02-02,2005-02-14,4º Secretário,8
74374,https://dadosabertos.camara.leg.br/api/v2/deputados/74374,GERALDO RESENDE,PPS,https://dadosabertos.camara.leg.br/api/v2/partidos/36813,MS,52,https://www.camara.leg.br/internet/deputado/bandep/74374.jpg,,2005-02-14,2007-01-31,3º Suplente de Secretário,11
74421,https://dadosabertos.camara.leg.br/api/v2/deputados/74421,INOCÊNCIO OLIVEIRA,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36814,PE,52,https://www.camara.leg.br/internet/deputado/bandep/74421.jpg,,2003-02-02,2005-02-14,1º Vice-Presidente,2
74421,https://dadosabertos.camara.leg.br/api/v2/deputados/74421,INOCÊNCIO OLIVEIRA,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36814,PE,52,https://www.camara.leg.br/internet/deputado/bandep/74421.jpg,,2005-02-14,2007-01-31,1º Secretário,5
74559,https://dadosabertos.camara.leg.br/api/v2/deputados/74559,JOÃO CALDAS,PL*,https://dadosabertos.camara.leg.br/api/v2/partidos/36814,AL,52,https://www.camara.leg.br/internet/deputado/bandep/74559.jpg,,2005-02-16,2007-01-31,4º Secretário,8
74559,https://dadosabertos.camara.leg.br/api/v2/deputados/74559,JOÃO CALDAS,PL*,https://dadosabertos.camara.leg.br/api/v2/partidos/36814,AL,52,https://www.camara.leg.br/internet/deputado/bandep/74559.jpg,,2003-02-02,2005-02-14,4º Suplente de Secretário,12
74558,https://dadosabertos.camara.leg.br/api/v2/deputados/74558,GIVALDO CARIMBÃO,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,AL,52,https://www.camara.leg.br/internet/deputado/bandep/74558.jpg,,2005-02-14,2007-01-31,1º Suplente de Secretário,9
74419,https://dadosabertos.camara.leg.br/api/v2/deputados/74419,GONZAGA PATRIOTA,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,PE,52,https://www.camara.leg.br/internet/deputado/bandep/74419.jpg,,2003-02-02,2005-02-14,1º Suplente de Secretário,9
73945,https://dadosabertos.camara.leg.br/api/v2/deputados/73945,EDUARDO GOMES,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,TO,52,https://www.camara.leg.br/internet/deputado/bandep/73945.jpg,,2005-02-14,2007-01-31,3º Secretário,7
74801,https://dadosabertos.camara.leg.br/api/v2/deputados/74801,WILSON SANTOS,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MT,52,https://www.camara.leg.br/internet/deputado/bandep/74801.jpg,,2003-02-02,2004-12-01,2º Suplente de Secretário,10
73534,https://dadosabertos.camara.leg.br/api/v2/deputados/73534,JOÃO PAULO CUNHA,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,SP,52,https://www.camara.leg.br/internet/deputado/bandep/73534.jpg,,2003-02-02,2005-02-14,Presidente,1
74359,https://dadosabertos.camara.leg.br/api/v2/deputados/74359,NILTON CAPIXABA,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845,RO,52,https://www.camara.leg.br/internet/deputado/bandep/74359.jpg,,2005-02-14,2007-01-31,2º Secretário,6
74359,https://dadosabertos.camara.leg.br/api/v2/deputados/74359,NILTON CAPIXABA,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845,RO,52,https://www.camara.leg.br/internet/deputado/bandep/74359.jpg,,2003-02-02,2005-02-14,3º Secretário,7
74158,https://dadosabertos.camara.leg.br/api/v2/deputados/74158,Mário Heringer ,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,MG,56,https://www.camara.leg.br/internet/deputado/bandep/74158.jpg,,2019-02-01,2021-02-01,2º Secretário,6
