id_parl,cargo,siglaUf,municipio,anoInicio,anoFim,siglaPartidoEleicao,uriPartidoEleicao
204391,Deputado(a) Estadual,GO,Goiânia,2015,2018,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
204394,Deputado(a) Estadual,PB,,2003,2007,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
204394,Deputado(a) Estadual,PB,,2007,2011,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
204394,Deputado(a) Estadual,PB,,2011,2015,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
204394,Deputado(a) Estadual,PB,,2015,2019,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
204395,Deputado(a) Estadual,PR,,2011,2015,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769
204395,Deputado(a) Estadual,PR,,2015,2019,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769
204398,Deputado(a) Estadual,PR,,2015,2019,SOLIDARIEDADE,https://dadosabertos.camara.leg.br/api/v2/partidos/37904
171620,Vereador(a),MG,,2005,2008,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/36809
171620,Vereador(a),MG,,2009,2012,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/36809
204400,Vereador(a),PR,Castro,2005,2008,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835
204400,Vereador(a),PR,Castro,2013,2016,PSDC,https://dadosabertos.camara.leg.br/api/v2/partidos/36836
204393,Deputado(a) Estadual,PB,,2011,2015,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844
204393,Deputado(a) Estadual,PB,,1999,2003,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844
204393,Deputado(a) Estadual,PB,,2015,2019,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844
204393,Deputado(a) Estadual,PB,,2003,2007,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844
204397,Vereador(a),PR,Londrina,2017,2017,PR,https://dadosabertos.camara.leg.br/api/v2/partidos/36876
204403,Vereador(a),RS,Cachoeira do Sul,2001,2003,,https://dadosabertos.camara.leg.br/api/v2/partidos/null
204403,Deputado(a) Estadual,RS,,2003,2004,,https://dadosabertos.camara.leg.br/api/v2/partidos/null
204403,Prefeito(a),RS,Cachoeira do Sul,2005,2008,,https://dadosabertos.camara.leg.br/api/v2/partidos/null
204403,Deputado(a) Estadual,RS,,2011,2015,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786
204403,Deputado(a) Estadual,RS,,2015,2019,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786
204403,Vereador(a),RS,Cachoeira do Sul,2001,2003,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790
